Chr : 16 || GC : 1000 || CM : 70 is a Match
Chr : 4 || GC : 785 || CM : 8 is a Match
Chr : 6 || GC : 785 || CM : 1 is a Match
Chr : 10 || GC : 786 || CM : 4 is a Match
Chr : 11 || GC : 786 || CM : 5 is a Match
Chr : 17 || GC : 786 || CM : 104 is a Match
Chr : 1 || GC : 786 || CM : 7 is a Match
Chr : 2 || GC : 786 || CM : 215 is a Match
Chr : 3 || GC : 786 || CM : 7 is a Match
Chr : 5 || GC : 786 || CM : 197 is a Match
Chr : 1 || GC : 787 || CM : 65 is a Match
Chr : 2 || GC : 787 || CM : 32 is a Match
Chr : 18 || GC : 788 || CM : 107 is a Match
Chr : 18 || GC : 788 || CM : 38 is a Match
Chr : 6 || GC : 788 || CM : 66 is a Match
Chr : 17 || GC : 789 || CM : 81 is a Match
Chr : 17 || GC : 790 || CM : 31 is a Match
Chr : 20 || GC : 790 || CM : 28 is a Match
Chr : 2 || GC : 790 || CM : 139 is a Match
Chr : 3 || GC : 790 || CM : 199 is a Match
Chr : 1 || GC : 791 || CM : 270 is a Match
Chr : 2 || GC : 791 || CM : 26 is a Match
Chr : 8 || GC : 791 || CM : 14 is a Match
Chr : 1 || GC : 793 || CM : 266 is a Match
Chr : 3 || GC : 793 || CM : 219 is a Match
Chr : 8 || GC : 793 || CM : 13 is a Match
Chr : 2 || GC : 794 || CM : 214 is a Match
Chr : 4 || GC : 794 || CM : 1 is a Match
Chr : 2 || GC : 795 || CM : 12 is a Match
Chr : 13 || GC : 796 || CM : 116 is a Match
Chr : 14 || GC : 796 || CM : 101 is a Match
Chr : 20 || GC : 796 || CM : 89 is a Match
Chr : 22 || GC : 796 || CM : 11 is a Match
Chr : 14 || GC : 799 || CM : 116 is a Match
Chr : 20 || GC : 799 || CM : 26 is a Match
Chr : 4 || GC : 799 || CM : 3 is a Match
Chr : 6 || GC : 799 || CM : 9 is a Match
Chr : 17 || GC : 800 || CM : 15 is a Match
Chr : 5 || GC : 801 || CM : 4 is a Match
Chr : 14 || GC : 802 || CM : 98 is a Match
Chr : 7 || GC : 802 || CM : 163 is a Match
Chr : 14 || GC : 803 || CM : 99 is a Match
Chr : 20 || GC : 803 || CM : 19 is a Match
Chr : 6 || GC : 803 || CM : 183 is a Match
Chr : 4 || GC : 804 || CM : 39 is a Match
Chr : 1 || GC : 805 || CM : 39 is a Match
Chr : 8 || GC : 805 || CM : 135 is a Match
Chr : 8 || GC : 805 || CM : 157 is a Match
Chr : 13 || GC : 806 || CM : 102 is a Match
Chr : 22 || GC : 806 || CM : 12 is a Match
Chr : 6 || GC : 806 || CM : 187 is a Match
Chr : 11 || GC : 809 || CM : 156 is a Match
Chr : 3 || GC : 809 || CM : 210 is a Match
Chr : 1 || GC : 810 || CM : 244 is a Match
Chr : 3 || GC : 810 || CM : 176 is a Match
Chr : 4 || GC : 810 || CM : 2 is a Match
Chr : 12 || GC : 811 || CM : 147 is a Match
Chr : 22 || GC : 811 || CM : 14 is a Match
Chr : 7 || GC : 811 || CM : 182 is a Match
Chr : 9 || GC : 811 || CM : 61 is a Match
Chr : 20 || GC : 812 || CM : 90 is a Match
Chr : 11 || GC : 813 || CM : 154 is a Match
Chr : 11 || GC : 813 || CM : 4 is a Match
Chr : 1 || GC : 813 || CM : 269 is a Match
Chr : 2 || GC : 813 || CM : 22 is a Match
Chr : 2 || GC : 814 || CM : 4 is a Match
Chr : 3 || GC : 815 || CM : 4 is a Match
Chr : 7 || GC : 815 || CM : 142 is a Match
Chr : 11 || GC : 816 || CM : 146 is a Match
Chr : 12 || GC : 816 || CM : 3 is a Match
Chr : 18 || GC : 816 || CM : 113 is a Match
Chr : 3 || GC : 816 || CM : 96 is a Match
Chr : 2 || GC : 818 || CM : 217 is a Match
Chr : 3 || GC : 818 || CM : 204 is a Match
Chr : 8 || GC : 818 || CM : 159 is a Match
Chr : 14 || GC : 819 || CM : 105 is a Match
Chr : 19 || GC : 819 || CM : 77 is a Match
Chr : 6 || GC : 819 || CM : 10 is a Match
Chr : 14 || GC : 820 || CM : 102 is a Match
Chr : 20 || GC : 820 || CM : 68 is a Match
Chr : 8 || GC : 820 || CM : 136 is a Match
Chr : 12 || GC : 821 || CM : 0 is a Match
Chr : 5 || GC : 821 || CM : 9 is a Match
Chr : 16 || GC : 822 || CM : 44 is a Match
Chr : 7 || GC : 822 || CM : 83 is a Match
Chr : 14 || GC : 823 || CM : 26 is a Match
Chr : 1 || GC : 823 || CM : 29 is a Match
Chr : 2 || GC : 823 || CM : 140 is a Match
Chr : 2 || GC : 823 || CM : 24 is a Match
Chr : 2 || GC : 823 || CM : 258 is a Match
Chr : 3 || GC : 823 || CM : 193 is a Match
Chr : 7 || GC : 823 || CM : 7 is a Match
Chr : 9 || GC : 823 || CM : 62 is a Match
Chr : 11 || GC : 824 || CM : 32 is a Match
Chr : 16 || GC : 824 || CM : 36 is a Match
Chr : 18 || GC : 824 || CM : 39 is a Match
Chr : 9 || GC : 824 || CM : 148 is a Match
Chr : 5 || GC : 825 || CM : 24 is a Match
Chr : 18 || GC : 826 || CM : 42 is a Match
Chr : 6 || GC : 826 || CM : 20 is a Match
Chr : 20 || GC : 827 || CM : 27 is a Match
Chr : 16 || GC : 828 || CM : 41 is a Match
Chr : 14 || GC : 830 || CM : 117 is a Match
Chr : 18 || GC : 831 || CM : 91 is a Match
Chr : 17 || GC : 832 || CM : 44 is a Match
Chr : 3 || GC : 832 || CM : 12 is a Match
Chr : 6 || GC : 832 || CM : 0 is a Match
Chr : 19 || GC : 833 || CM : 41 is a Match
Chr : 15 || GC : 834 || CM : 27 is a Match
Chr : 6 || GC : 834 || CM : 22 is a Match
Chr : 3 || GC : 835 || CM : 203 is a Match
Chr : 16 || GC : 836 || CM : 121 is a Match
Chr : 17 || GC : 836 || CM : 36 is a Match
Chr : 19 || GC : 836 || CM : 46 is a Match
Chr : 5 || GC : 836 || CM : 198 is a Match
Chr : 11 || GC : 837 || CM : 153 is a Match
Chr : 22 || GC : 837 || CM : 54 is a Match
Chr : 13 || GC : 838 || CM : 14 is a Match
Chr : 1 || GC : 838 || CM : 161 is a Match
Chr : 13 || GC : 839 || CM : 8 is a Match
Chr : 14 || GC : 839 || CM : 6 is a Match
Chr : 5 || GC : 839 || CM : 25 is a Match
Chr : 19 || GC : 840 || CM : 33 is a Match
Chr : 1 || GC : 840 || CM : 66 is a Match
Chr : 21 || GC : 840 || CM : 7 is a Match
Chr : 2 || GC : 840 || CM : 25 is a Match
Chr : 13 || GC : 841 || CM : 110 is a Match
Chr : 17 || GC : 841 || CM : 14 is a Match
Chr : 7 || GC : 841 || CM : 158 is a Match
Chr : 5 || GC : 842 || CM : 183 is a Match
Chr : 8 || GC : 842 || CM : 50 is a Match
Chr : 8 || GC : 842 || CM : 84 is a Match
Chr : 14 || GC : 843 || CM : 88 is a Match
Chr : 3 || GC : 843 || CM : 95 is a Match
Chr : 12 || GC : 845 || CM : 152 is a Match
Chr : 13 || GC : 845 || CM : 13 is a Match
Chr : 18 || GC : 845 || CM : 83 is a Match
Chr : 14 || GC : 846 || CM : 97 is a Match
Chr : 19 || GC : 846 || CM : 71 is a Match
Chr : 1 || GC : 846 || CM : 243 is a Match
Chr : 20 || GC : 846 || CM : 80 is a Match
Chr : 4 || GC : 846 || CM : 5 is a Match
Chr : 2 || GC : 847 || CM : 21 is a Match
Chr : 11 || GC : 848 || CM : 155 is a Match
Chr : 21 || GC : 848 || CM : 0 is a Match
Chr : 3 || GC : 848 || CM : 205 is a Match
Chr : 6 || GC : 848 || CM : 142 is a Match
Chr : 16 || GC : 849 || CM : 13 is a Match
Chr : 18 || GC : 849 || CM : 40 is a Match
Chr : 1 || GC : 849 || CM : 253 is a Match
Chr : 20 || GC : 849 || CM : 29 is a Match
Chr : 14 || GC : 850 || CM : 85 is a Match
Chr : 3 || GC : 850 || CM : 10 is a Match
Chr : 3 || GC : 850 || CM : 173 is a Match
Chr : 5 || GC : 850 || CM : 200 is a Match
Chr : 6 || GC : 850 || CM : 7 is a Match
Chr : 3 || GC : 851 || CM : 155 is a Match
Chr : 6 || GC : 851 || CM : 67 is a Match
Chr : 17 || GC : 852 || CM : 33 is a Match
Chr : 3 || GC : 852 || CM : 156 is a Match
Chr : 3 || GC : 852 || CM : 3 is a Match
Chr : 6 || GC : 852 || CM : 69 is a Match
Chr : 16 || GC : 853 || CM : 43 is a Match
Chr : 8 || GC : 853 || CM : 158 is a Match
Chr : 14 || GC : 854 || CM : 104 is a Match
Chr : 16 || GC : 854 || CM : 96 is a Match
Chr : 17 || GC : 854 || CM : 61 is a Match
Chr : 1 || GC : 854 || CM : 258 is a Match
Chr : 1 || GC : 854 || CM : 35 is a Match
Chr : 21 || GC : 854 || CM : 12 is a Match
Chr : 4 || GC : 854 || CM : 188 is a Match
Chr : 3 || GC : 855 || CM : 11 is a Match
Chr : 8 || GC : 855 || CM : 153 is a Match
Chr : 8 || GC : 855 || CM : 21 is a Match
Chr : 13 || GC : 857 || CM : 25 is a Match
Chr : 14 || GC : 857 || CM : 100 is a Match
Chr : 6 || GC : 857 || CM : 141 is a Match
Chr : 9 || GC : 857 || CM : 88 is a Match
Chr : 15 || GC : 859 || CM : 4 is a Match
Chr : 1 || GC : 860 || CM : 248 is a Match
Chr : 13 || GC : 861 || CM : 9 is a Match
Chr : 12 || GC : 862 || CM : 10 is a Match
Chr : 12 || GC : 863 || CM : 29 is a Match
Chr : 16 || GC : 863 || CM : 68 is a Match
Chr : 19 || GC : 863 || CM : 104 is a Match
Chr : 1 || GC : 863 || CM : 34 is a Match
Chr : 20 || GC : 863 || CM : 21 is a Match
Chr : 4 || GC : 863 || CM : 189 is a Match
Chr : 16 || GC : 864 || CM : 45 is a Match
Chr : 20 || GC : 864 || CM : 25 is a Match
Chr : 20 || GC : 864 || CM : 88 is a Match
Chr : 15 || GC : 865 || CM : 37 is a Match
Chr : 4 || GC : 865 || CM : 59 is a Match
Chr : 6 || GC : 865 || CM : 12 is a Match
Chr : 7 || GC : 865 || CM : 5 is a Match
Chr : 6 || GC : 866 || CM : 70 is a Match
Chr : 6 || GC : 866 || CM : 8 is a Match
Chr : 1 || GC : 867 || CM : 204 is a Match
Chr : 1 || GC : 867 || CM : 268 is a Match
Chr : 11 || GC : 868 || CM : 152 is a Match
Chr : 13 || GC : 868 || CM : 11 is a Match
Chr : 1 || GC : 868 || CM : 37 is a Match
Chr : 6 || GC : 868 || CM : 65 is a Match
Chr : 4 || GC : 869 || CM : 6 is a Match
Chr : 11 || GC : 870 || CM : 151 is a Match
Chr : 11 || GC : 870 || CM : 31 is a Match
Chr : 13 || GC : 872 || CM : 23 is a Match
Chr : 1 || GC : 872 || CM : 30 is a Match
Chr : 5 || GC : 872 || CM : 35 is a Match
Chr : 10 || GC : 873 || CM : 28 is a Match
Chr : 22 || GC : 873 || CM : 0 is a Match
Chr : 22 || GC : 873 || CM : 32 is a Match
Chr : 11 || GC : 874 || CM : 145 is a Match
Chr : 15 || GC : 874 || CM : 65 is a Match
Chr : 21 || GC : 874 || CM : 5 is a Match
Chr : 4 || GC : 874 || CM : 58 is a Match
Chr : 11 || GC : 875 || CM : 6 is a Match
Chr : 15 || GC : 875 || CM : 59 is a Match
Chr : 5 || GC : 876 || CM : 145 is a Match
Chr : 20 || GC : 877 || CM : 3 is a Match
Chr : 20 || GC : 877 || CM : 81 is a Match
Chr : 4 || GC : 877 || CM : 43 is a Match
Chr : 7 || GC : 877 || CM : 144 is a Match
Chr : 11 || GC : 878 || CM : 132 is a Match
Chr : 15 || GC : 878 || CM : 35 is a Match
Chr : 17 || GC : 879 || CM : 10 is a Match
Chr : 18 || GC : 879 || CM : 114 is a Match
Chr : 3 || GC : 879 || CM : 139 is a Match
Chr : 13 || GC : 880 || CM : 12 is a Match
Chr : 21 || GC : 880 || CM : 59 is a Match
Chr : 3 || GC : 880 || CM : 207 is a Match
Chr : 4 || GC : 880 || CM : 7 is a Match
Chr : 10 || GC : 881 || CM : 165 is a Match
Chr : 13 || GC : 881 || CM : 106 is a Match
Chr : 19 || GC : 881 || CM : 105 is a Match
Chr : 5 || GC : 881 || CM : 51 is a Match
Chr : 15 || GC : 882 || CM : 29 is a Match
Chr : 17 || GC : 882 || CM : 32 is a Match
Chr : 2 || GC : 882 || CM : 7 is a Match
Chr : 3 || GC : 882 || CM : 206 is a Match
Chr : 8 || GC : 882 || CM : 129 is a Match
Chr : 12 || GC : 883 || CM : 138 is a Match
Chr : 1 || GC : 883 || CM : 22 is a Match
Chr : 13 || GC : 884 || CM : 109 is a Match
Chr : 3 || GC : 884 || CM : 200 is a Match
Chr : 4 || GC : 885 || CM : 152 is a Match
Chr : 8 || GC : 885 || CM : 128 is a Match
Chr : 19 || GC : 886 || CM : 54 is a Match
Chr : 6 || GC : 886 || CM : 68 is a Match
Chr : 10 || GC : 887 || CM : 10 is a Match
Chr : 13 || GC : 887 || CM : 111 is a Match
Chr : 15 || GC : 887 || CM : 28 is a Match
Chr : 15 || GC : 887 || CM : 53 is a Match
Chr : 21 || GC : 889 || CM : 41 is a Match
Chr : 3 || GC : 889 || CM : 190 is a Match
Chr : 6 || GC : 889 || CM : 11 is a Match
Chr : 9 || GC : 889 || CM : 89 is a Match
Chr : 11 || GC : 890 || CM : 133 is a Match
Chr : 12 || GC : 890 || CM : 68 is a Match
Chr : 19 || GC : 891 || CM : 27 is a Match
Chr : 18 || GC : 892 || CM : 116 is a Match
Chr : 14 || GC : 893 || CM : 89 is a Match
Chr : 3 || GC : 893 || CM : 15 is a Match
Chr : 8 || GC : 893 || CM : 108 is a Match
Chr : 12 || GC : 894 || CM : 151 is a Match
Chr : 15 || GC : 895 || CM : 80 is a Match
Chr : 17 || GC : 895 || CM : 34 is a Match
Chr : 7 || GC : 895 || CM : 162 is a Match
Chr : 8 || GC : 895 || CM : 39 is a Match
Chr : 5 || GC : 896 || CM : 50 is a Match
Chr : 5 || GC : 897 || CM : 15 is a Match
Chr : 8 || GC : 897 || CM : 133 is a Match
Chr : 8 || GC : 897 || CM : 134 is a Match
Chr : 11 || GC : 898 || CM : 35 is a Match
Chr : 14 || GC : 898 || CM : 96 is a Match
Chr : 21 || GC : 898 || CM : 53 is a Match
Chr : 1 || GC : 899 || CM : 162 is a Match
Chr : 6 || GC : 899 || CM : 143 is a Match
Chr : 7 || GC : 899 || CM : 159 is a Match
Chr : 16 || GC : 900 || CM : 76 is a Match
Chr : 20 || GC : 900 || CM : 22 is a Match
Chr : 21 || GC : 900 || CM : 27 is a Match
Chr : 3 || GC : 900 || CM : 22 is a Match
Chr : 12 || GC : 901 || CM : 148 is a Match
Chr : 15 || GC : 901 || CM : 36 is a Match
Chr : 1 || GC : 901 || CM : 33 is a Match
Chr : 20 || GC : 901 || CM : 20 is a Match
Chr : 9 || GC : 901 || CM : 90 is a Match
Chr : 3 || GC : 902 || CM : 202 is a Match
Chr : 6 || GC : 902 || CM : 182 is a Match
Chr : 13 || GC : 903 || CM : 107 is a Match
Chr : 14 || GC : 903 || CM : 7 is a Match
Chr : 16 || GC : 903 || CM : 120 is a Match
Chr : 17 || GC : 904 || CM : 9 is a Match
Chr : 3 || GC : 905 || CM : 209 is a Match
Chr : 5 || GC : 905 || CM : 60 is a Match
Chr : 6 || GC : 905 || CM : 23 is a Match
Chr : 9 || GC : 905 || CM : 87 is a Match
Chr : 2 || GC : 906 || CM : 224 is a Match
Chr : 6 || GC : 906 || CM : 140 is a Match
Chr : 6 || GC : 906 || CM : 64 is a Match
Chr : 7 || GC : 906 || CM : 160 is a Match
Chr : 8 || GC : 906 || CM : 125 is a Match
Chr : 12 || GC : 907 || CM : 67 is a Match
Chr : 15 || GC : 907 || CM : 30 is a Match
Chr : 17 || GC : 907 || CM : 11 is a Match
Chr : 1 || GC : 907 || CM : 8 is a Match
Chr : 16 || GC : 908 || CM : 69 is a Match
Chr : 20 || GC : 908 || CM : 87 is a Match
Chr : 3 || GC : 908 || CM : 13 is a Match
Chr : 4 || GC : 908 || CM : 60 is a Match
Chr : 16 || GC : 909 || CM : 62 is a Match
Chr : 17 || GC : 909 || CM : 12 is a Match
Chr : 18 || GC : 909 || CM : 41 is a Match
Chr : 6 || GC : 909 || CM : 19 is a Match
Chr : 8 || GC : 909 || CM : 85 is a Match
Chr : 21 || GC : 910 || CM : 6 is a Match
Chr : 20 || GC : 911 || CM : 4 is a Match
Chr : 1 || GC : 912 || CM : 267 is a Match
Chr : 21 || GC : 912 || CM : 13 is a Match
Chr : 2 || GC : 912 || CM : 252 is a Match
Chr : 5 || GC : 912 || CM : 5 is a Match
Chr : 18 || GC : 913 || CM : 93 is a Match
Chr : 3 || GC : 913 || CM : 122 is a Match
Chr : 16 || GC : 914 || CM : 29 is a Match
Chr : 16 || GC : 914 || CM : 47 is a Match
Chr : 3 || GC : 914 || CM : 192 is a Match
Chr : 1 || GC : 915 || CM : 36 is a Match
Chr : 2 || GC : 915 || CM : 239 is a Match
Chr : 6 || GC : 915 || CM : 62 is a Match
Chr : 15 || GC : 916 || CM : 97 is a Match
Chr : 15 || GC : 917 || CM : 70 is a Match
Chr : 5 || GC : 917 || CM : 26 is a Match
Chr : 14 || GC : 919 || CM : 103 is a Match
Chr : 1 || GC : 919 || CM : 67 is a Match
Chr : 21 || GC : 919 || CM : 49 is a Match
Chr : 7 || GC : 920 || CM : 161 is a Match
Chr : 21 || GC : 921 || CM : 50 is a Match
Chr : 4 || GC : 921 || CM : 29 is a Match
Chr : 13 || GC : 922 || CM : 10 is a Match
Chr : 10 || GC : 923 || CM : 135 is a Match
Chr : 11 || GC : 923 || CM : 131 is a Match
Chr : 6 || GC : 923 || CM : 63 is a Match
Chr : 16 || GC : 924 || CM : 42 is a Match
Chr : 8 || GC : 924 || CM : 160 is a Match
Chr : 1 || GC : 925 || CM : 245 is a Match
Chr : 10 || GC : 926 || CM : 11 is a Match
Chr : 16 || GC : 926 || CM : 10 is a Match
Chr : 5 || GC : 926 || CM : 28 is a Match
Chr : 5 || GC : 926 || CM : 53 is a Match
Chr : 10 || GC : 927 || CM : 149 is a Match
Chr : 12 || GC : 927 || CM : 69 is a Match
Chr : 16 || GC : 927 || CM : 46 is a Match
Chr : 3 || GC : 927 || CM : 201 is a Match
Chr : 16 || GC : 928 || CM : 50 is a Match
Chr : 4 || GC : 928 || CM : 187 is a Match
Chr : 4 || GC : 928 || CM : 57 is a Match
Chr : 2 || GC : 929 || CM : 213 is a Match
Chr : 5 || GC : 930 || CM : 23 is a Match
Chr : 13 || GC : 931 || CM : 108 is a Match
Chr : 11 || GC : 932 || CM : 130 is a Match
Chr : 12 || GC : 932 || CM : 149 is a Match
Chr : 14 || GC : 932 || CM : 23 is a Match
Chr : 15 || GC : 932 || CM : 121 is a Match
Chr : 5 || GC : 932 || CM : 8 is a Match
Chr : 7 || GC : 932 || CM : 4 is a Nopes
Chr : 18 || GC : 933 || CM : 115 is a Match
Chr : 5 || GC : 933 || CM : 52 is a Match
Chr : 16 || GC : 934 || CM : 118 is a Match
Chr : 17 || GC : 934 || CM : 13 is a Match
Chr : 5 || GC : 934 || CM : 181 is a Match
Chr : 14 || GC : 935 || CM : 9 is a Match
Chr : 17 || GC : 935 || CM : 35 is a Match
Chr : 17 || GC : 935 || CM : 62 is a Match
Chr : 6 || GC : 935 || CM : 188 is a Match
Chr : 7 || GC : 935 || CM : 8 is a Match
Chr : 20 || GC : 936 || CM : 82 is a Match
Chr : 1 || GC : 937 || CM : 40 is a Match
Chr : 18 || GC : 938 || CM : 85 is a Match
Chr : 1 || GC : 939 || CM : 63 is a Match
Chr : 2 || GC : 939 || CM : 138 is a Match
Chr : 6 || GC : 939 || CM : 139 is a Match
Chr : 16 || GC : 940 || CM : 61 is a Match
Chr : 16 || GC : 941 || CM : 77 is a Match
Chr : 1 || GC : 942 || CM : 247 is a Match
Chr : 8 || GC : 942 || CM : 130 is a Match
Chr : 14 || GC : 943 || CM : 10 is a Match
Chr : 19 || GC : 943 || CM : 32 is a Match
Chr : 1 || GC : 943 || CM : 254 is a Match
Chr : 21 || GC : 943 || CM : 16 is a Match
Chr : 3 || GC : 943 || CM : 172 is a Match
Chr : 8 || GC : 943 || CM : 137 is a Match
Chr : 5 || GC : 944 || CM : 6 is a Match
Chr : 15 || GC : 945 || CM : 89 is a Match
Chr : 2 || GC : 945 || CM : 141 is a Match
Chr : 9 || GC : 945 || CM : 86 is a Match
Chr : 17 || GC : 946 || CM : 21 is a Match
Chr : 18 || GC : 946 || CM : 90 is a Match
Chr : 17 || GC : 947 || CM : 74 is a Match
Chr : 19 || GC : 947 || CM : 55 is a Match
Chr : 3 || GC : 947 || CM : 14 is a Match
Chr : 3 || GC : 947 || CM : 191 is a Match
Chr : 7 || GC : 947 || CM : 157 is a Match
Chr : 10 || GC : 948 || CM : 151 is a Match
Chr : 20 || GC : 948 || CM : 86 is a Match
Chr : 12 || GC : 949 || CM : 134 is a Match
Chr : 16 || GC : 949 || CM : 101 is a Match
Chr : 8 || GC : 949 || CM : 109 is a Match
Chr : 9 || GC : 949 || CM : 139 is a Match
Chr : 9 || GC : 949 || CM : 91 is a Match
Chr : 8 || GC : 950 || CM : 107 is a Match
Chr : 13 || GC : 951 || CM : 115 is a Match
Chr : 21 || GC : 951 || CM : 52 is a Match
Chr : 9 || GC : 951 || CM : 5 is a Match
Chr : 20 || GC : 952 || CM : 83 is a Match
Chr : 22 || GC : 952 || CM : 13 is a Match
Chr : 13 || GC : 953 || CM : 6 is a Match
Chr : 13 || GC : 953 || CM : 7 is a Match
Chr : 1 || GC : 953 || CM : 21 is a Match
Chr : 20 || GC : 953 || CM : 10 is a Match
Chr : 4 || GC : 953 || CM : 56 is a Match
Chr : 21 || GC : 954 || CM : 51 is a Match
Chr : 1 || GC : 955 || CM : 246 is a Match
Chr : 5 || GC : 955 || CM : 34 is a Match
Chr : 15 || GC : 956 || CM : 31 is a Match
Chr : 2 || GC : 956 || CM : 223 is a Match
Chr : 14 || GC : 957 || CM : 22 is a Match
Chr : 14 || GC : 957 || CM : 8 is a Match
Chr : 20 || GC : 957 || CM : 5 is a Match
Chr : 12 || GC : 958 || CM : 150 is a Match
Chr : 7 || GC : 958 || CM : 145 is a Match
Chr : 10 || GC : 959 || CM : 150 is a Match
Chr : 17 || GC : 960 || CM : 110 is a Match
Chr : 13 || GC : 961 || CM : 18 is a Match
Chr : 21 || GC : 961 || CM : 38 is a Match
Chr : 6 || GC : 961 || CM : 138 is a Match
Chr : 16 || GC : 962 || CM : 52 is a Match
Chr : 1 || GC : 962 || CM : 15 is a Match
Chr : 1 || GC : 962 || CM : 20 is a Match
Chr : 5 || GC : 962 || CM : 49 is a Match
Chr : 13 || GC : 963 || CM : 4 is a Match
Chr : 5 || GC : 963 || CM : 7 is a Match
Chr : 8 || GC : 963 || CM : 40 is a Match
Chr : 9 || GC : 963 || CM : 72 is a Match
Chr : 12 || GC : 964 || CM : 135 is a Match
Chr : 21 || GC : 965 || CM : 47 is a Match
Chr : 4 || GC : 965 || CM : 28 is a Match
Chr : 16 || GC : 966 || CM : 49 is a Match
Chr : 2 || GC : 966 || CM : 218 is a Match
Chr : 5 || GC : 966 || CM : 202 is a Match
Chr : 10 || GC : 967 || CM : 136 is a Match
Chr : 1 || GC : 967 || CM : 19 is a Match
Chr : 5 || GC : 967 || CM : 16 is a Match
Chr : 8 || GC : 967 || CM : 38 is a Match
Chr : 14 || GC : 968 || CM : 25 is a Match
Chr : 5 || GC : 968 || CM : 36 is a Match
Chr : 9 || GC : 968 || CM : 10 is a Match
Chr : 13 || GC : 969 || CM : 22 is a Match
Chr : 20 || GC : 969 || CM : 24 is a Match
Chr : 8 || GC : 969 || CM : 15 is a Match
Chr : 10 || GC : 970 || CM : 29 is a Match
Chr : 12 || GC : 970 || CM : 139 is a Match
Chr : 12 || GC : 970 || CM : 91 is a Match
Chr : 2 || GC : 970 || CM : 225 is a Match
Chr : 6 || GC : 970 || CM : 24 is a Match
Chr : 3 || GC : 971 || CM : 208 is a Match
Chr : 4 || GC : 971 || CM : 184 is a Match
Chr : 12 || GC : 972 || CM : 133 is a Match
Chr : 16 || GC : 972 || CM : 75 is a Match
Chr : 8 || GC : 972 || CM : 161 is a Match
Chr : 20 || GC : 973 || CM : 23 is a Match
Chr : 2 || GC : 973 || CM : 248 is a Match
Chr : 8 || GC : 973 || CM : 132 is a Match
Chr : 13 || GC : 974 || CM : 5 is a Match
Chr : 16 || GC : 974 || CM : 9 is a Match
Chr : 12 || GC : 975 || CM : 122 is a Match
Chr : 4 || GC : 975 || CM : 30 is a Match
Chr : 9 || GC : 975 || CM : 4 is a Match
Chr : 14 || GC : 976 || CM : 90 is a Match
Chr : 15 || GC : 976 || CM : 120 is a Match
Chr : 16 || GC : 976 || CM : 20 is a Match
Chr : 12 || GC : 977 || CM : 132 is a Match
Chr : 17 || GC : 977 || CM : 86 is a Match
Chr : 14 || GC : 978 || CM : 15 is a Match
Chr : 16 || GC : 978 || CM : 28 is a Match
Chr : 21 || GC : 978 || CM : 63 is a Match
Chr : 5 || GC : 978 || CM : 17 is a Match
Chr : 6 || GC : 978 || CM : 18 is a Match
Chr : 22 || GC : 979 || CM : 19 is a Match
Chr : 2 || GC : 979 || CM : 11 is a Match
Chr : 10 || GC : 980 || CM : 12 is a Match
Chr : 15 || GC : 980 || CM : 67 is a Match
Chr : 3 || GC : 980 || CM : 97 is a Match
Chr : 4 || GC : 980 || CM : 186 is a Match
Chr : 7 || GC : 980 || CM : 10 is a Match
Chr : 11 || GC : 981 || CM : 129 is a Match
Chr : 14 || GC : 981 || CM : 32 is a Match
Chr : 5 || GC : 981 || CM : 27 is a Match
Chr : 16 || GC : 983 || CM : 119 is a Match
Chr : 1 || GC : 983 || CM : 9 is a Match
Chr : 22 || GC : 983 || CM : 24 is a Match
Chr : 16 || GC : 984 || CM : 53 is a Match
Chr : 9 || GC : 984 || CM : 6 is a Match
Chr : 4 || GC : 985 || CM : 94 is a Match
Chr : 10 || GC : 986 || CM : 27 is a Match
Chr : 11 || GC : 986 || CM : 144 is a Match
Chr : 12 || GC : 986 || CM : 11 is a Match
Chr : 12 || GC : 986 || CM : 92 is a Match
Chr : 20 || GC : 986 || CM : 30 is a Match
Chr : 3 || GC : 986 || CM : 2 is a Match
Chr : 10 || GC : 987 || CM : 166 is a Match
Chr : 13 || GC : 987 || CM : 26 is a Match
Chr : 13 || GC : 987 || CM : 3 is a Match
Chr : 1 || GC : 987 || CM : 12 is a Match
Chr : 10 || GC : 988 || CM : 157 is a Match
Chr : 11 || GC : 988 || CM : 140 is a Match
Chr : 15 || GC : 988 || CM : 90 is a Match
Chr : 21 || GC : 988 || CM : 48 is a Match
Chr : 3 || GC : 988 || CM : 157 is a Match
Chr : 3 || GC : 988 || CM : 177 is a Match
Chr : 5 || GC : 989 || CM : 203 is a Match
Chr : 6 || GC : 989 || CM : 36 is a Match
Chr : 2 || GC : 990 || CM : 249 is a Match
Chr : 6 || GC : 990 || CM : 181 is a Match
Chr : 10 || GC : 991 || CM : 168 is a Match
Chr : 16 || GC : 991 || CM : 48 is a Match
Chr : 1 || GC : 991 || CM : 205 is a Match
Chr : 7 || GC : 991 || CM : 43 is a Match
Chr : 7 || GC : 991 || CM : 84 is a Match
Chr : 6 || GC : 992 || CM : 144 is a Match
Chr : 4 || GC : 993 || CM : 153 is a Match
Chr : 10 || GC : 994 || CM : 152 is a Match
Chr : 13 || GC : 994 || CM : 112 is a Match
Chr : 15 || GC : 994 || CM : 66 is a Match
Chr : 1 || GC : 995 || CM : 242 is a Match
Chr : 22 || GC : 995 || CM : 59 is a Match
Chr : 8 || GC : 995 || CM : 162 is a Match
Chr : 16 || GC : 996 || CM : 51 is a Match
